 	is01	is02	is03	predicted
Retention Indices				
phenylalanine_308 M11	0.058852	0.059473	0.05955	0
phenylalanine_308 M12	0.007609	0.00741	0.007713	0
phenylalanine_308 M13	0.002309	0.002332	0.002185	0
phenylalanine_308 M14	0.001102	0	0.000957	0
phenylalanine_308 M15	0	0	0	0
phenylalanine_308 M16	0	0	0	0
phenylalanine_308 M17	0	0	0	0
phenylalanine_308 M18_Full_NC	0	0	0	0
				
phenylalanine_336 M0	0	0	0	0.700494
phenylalanine_336 M1	0	0	0	0.204991
phenylalanine_336 M2	0	0	0	0.077261
phenylalanine_336 M3	0	0	0	0.014442
phenylalanine_336 M4	0	0	0	0.002486
phenylalanine_336 M5	0.00024	0.00026	0.00027	0.000299
phenylalanine_336 M6	0.0006	0	0.000835	2.70E-05
phenylalanine_336 M7	0.001355	0.001373	0.001423	2.00E-06
phenylalanine_336 M8	0.003333	0.005646	0	0
phenylalanine_336 M9	0.075419	0.075214	0.076092	0
phenylalanine_336 M10	0.704759	0.704256	0.707173	0
phenylalanine_336 M11	0.140627	0.140706	0.141147	0
phenylalanine_336 M12	0.062612	0.061741	0.06233	0
phenylalanine_336 M13	0.008147	0.007963	0.008032	0
phenylalanine_336 M14	0.002908	0.002841	0.002698	0
phenylalanine_336 M15	0	0	0	0
phenylalanine_336 M16	0	0	0	0
phenylalanine_336 M17	0	0	0	0
phenylalanine_336 M18	0	0	0	0
phenylalanine_336 M19_Full_NC	0	0	0	0
				
aspartate_418 M0	0.000556	0.000448	0.000401	0.634879
aspartate_418 M1	0.000291	0.000399	0.000476	0.226546
aspartate_418 M2	0.000291	0.000366	0.000517	0.106264
aspartate_418 M3	0.002534	0	0.00238	0.025152
aspartate_418 M4	0	0	0	0.006
aspartate_418 M5	0.658178	0.661395	0.659414	0.000995
aspartate_418 M6	0.2088	0.209348	0.208684	0.000148
aspartate_418 M7	0.101666	0.100772	0.100812	1.70E-05
aspartate_418 M8	0.021526	0.021312	0.021333	2.00E-06
aspartate_418 M9	0.005369	0.00519	0.005178	0
aspartate_418 M10	0.00079	0.000769	0.000806	0
aspartate_418 M11	0	0	0	0
aspartate_418 M12_Full_NC	0	0	0	0
				
aspartate_390 M0	0.000654	0.000617	0.000789	0.643309
aspartate_390 M1	0.001257	0.001265	0.001395	0.222351
aspartate_390 M2	0.001592	0	0.00114	0.10386
aspartate_390 M3	0	0	0	0.023851
aspartate_390 M4	0.663125	0.663388	0.662226	0.005593
aspartate_390 M5	0.20722	0.209549	0.20862	0.000894
aspartate_390 M6	0.099293	0.098762	0.09904	0.000128
aspartate_390 M7	0.021098	0.020826	0.021071	1.40E-05
aspartate_390 M8	0.004953	0.004885	0.004951	1.00E-06
aspartate_390 M9	0.000807	0.000709	0.000769	0
aspartate_390 M10_Full_NC	0	0	0	0
				
aspartate_302 M0	0.00099	0.000997	0.001113	0.722805
aspartate_302 M1	0.000718	0	0.001412	0.188732
aspartate_302 M2	0	0	0	0.073539
aspartate_302 M3	0.73005	0.731926	0.73001	0.012522
aspartate_302 M4	0.180332	0.179389	0.179461	0.002146
aspartate_302 M5	0.072309	0.07246	0.072742	0.000237
aspartate_302 M6	0.011742	0.011732	0.011798	2.00E-05
aspartate_302 M7	0.003257	0.002932	0.002903	1.00E-06
aspartate_302 M8_Full_NC	0.000602	0.000564	0.000563	0
				
glutamate_432 M0	0.000238	0.000259	0.000271	0.627941
glutamate_432 M1	0.000184	0.000195	0.000512	0.231007
glutamate_432 M2	0.000294	0.000481	0.000513	0.107579
glutamate_432 M3	0.000199	0.000226	0.000203	0.026038
glutamate_432 M4	0	0	0	0.006209
glutamate_432 M5	0	0	0	0.00105
glutamate_432 M6	0.658073	0.65959	0.659052	0.000158
glutamate_432 M7	0.211171	0.210483	0.210856	1.90E-05
glutamate_432 M8	0.102327	0.101415	0.101076	2.00E-06
glutamate_432 M9	0.021598	0.021499	0.021608	0
glutamate_432 M10	0.005174	0.005138	0.005165	0
glutamate_432 M11	0.000742	0.000714	0.000744	0
glutamate_432 M12	0	0	0	0
glutamate_432 M13	0	0	0	0
glutamate_432 M14_Full_NC	0	0	0	0
				
glutamate_330 M0	0.000318	0.000319	0.000387	0.707094
glutamate_330 M1	0.000423	0.000441	0.000461	0.200251
glutamate_330 M2	0.000565	0.000505	0.000855	0.076109
glutamate_330 M3	0.0061	0.006001	0.005785	0.013862
glutamate_330 M4	0	0	0	0.002379
glutamate_330 M5	0.728804	0.730129	0.730219	0.00028
glutamate_330 M6	0.177432	0.177079	0.177329	2.50E-05
glutamate_330 M7	0.071759	0.070964	0.070858	2.00E-06
glutamate_330 M8	0.011395	0.011508	0.011315	0
glutamate_330 M9	0.002813	0.002671	0.002791	0
glutamate_330 M10	0.000393	0.000383	0	0
glutamate_330 M11	0	0	0	0
glutamate_330 M12_Full_NC	0	0	0	0
				
asparagine_417 M0	0.000218	0.000203	0.000246	0.634011
asparagine_417 M1	0.000515	0.000544	0.000531	0.22841
asparagine_417 M2	0.000304	0.000166	0.000276	0.10559
asparagine_417 M3	0	0.000419	0	0.025012
asparagine_417 M4	0.001854	0.001397	0.001487	0.005861
asparagine_417 M5	0	0	0	0.000963
asparagine_417 M6	0.658489	0.660925	0.660801	0.000139
asparagine_417 M7	0.210806	0.209031	0.209289	1.60E-05
asparagine_417 M8	0.100754	0.100427	0.100517	1.00E-06
asparagine_417 M9	0.02127	0.021131	0.020988	0
asparagine_417 M10	0.005022	0.005026	0.005105	0
asparagine_417 M11	0.000769	0.000731	0.00076	0
asparagine_417 M12	0	0	0	0
asparagine_417 M13	0	0	0	0
asparagine_417 M14	0	0	0	0
asparagine_417 M15_Full_NC	0	0	0	0
				
lysine_431 M0	0	0	0	0.621598
lysine_431 M1	0	0	0	0.237576
lysine_431 M2	0	0	0	0.107236
lysine_431 M3	0	0	0	0.026334
lysine_431 M4	0	0	0	0.006076
lysine_431 M5	0	0	0	0.001019
lysine_431 M6	0.023277	0.024107	0.023204	0.000146
lysine_431 M7	0.064656	0.052495	0.057362	1.70E-05
lysine_431 M8	0.607351	0.617868	0.614249	2.00E-06
lysine_431 M9	0.19546	0.197066	0.193602	0
lysine_431 M10	0.092136	0.089085	0.090614	0
lysine_431 M11	0.01712	0.019379	0.020969	0
lysine_431 M12	0	0	0	0
lysine_431 M13	0	0	0	0
lysine_431 M14	0	0	0	0
lysine_431 M15	0	0	0	0
lysine_431 M16	0	0	0	0
lysine_431 M17_Full_NC	0	0	0	0
				
lysine_329 M0	0	0	0	0.699951
lysine_329 M1	0.055075	0.069675	0	0.208253
lysine_329 M2	0	0	0	0.075329
lysine_329 M3	0	0	0	0.013954
lysine_329 M4	0	0	0	0.002242
lysine_329 M5	0	0	0	0.000253
lysine_329 M6	0.046393	0.0403	0.044703	1.90E-05
lysine_329 M7	0.646072	0.65361	0.680198	1.00E-06
lysine_329 M8	0.171668	0.165357	0.184907	0
lysine_329 M9	0.071205	0.071058	0.071772	0
lysine_329 M10	0	0	0.018421	0
lysine_329 M11	0.009586	0	0	0
lysine_329 M12	0	0	0	0
lysine_329 M13	0	0	0	0
lysine_329 M14	0	0	0	0
lysine_329 M15_Full_NC	0	0	0	0
				
glutamine_431 M0	0.000333	0	0.000361	0.627083
glutamine_431 M1	0.000432	0.000398	0.000525	0.23284
glutamine_431 M2	0.000947	0.000939	0.000984	0.106933
glutamine_431 M3	0	0.000745	0.001396	0.025893
glutamine_431 M4	0	0	0	0.00607
glutamine_431 M5	0.007193	0.00695	0.007106	0.001017
glutamine_431 M6	0	0	0	0.000148
glutamine_431 M7	0.657629	0.659591	0.656615	1.70E-05
glutamine_431 M8	0.207639	0.206809	0.207998	2.00E-06
glutamine_431 M9	0.099197	0.098419	0.098762	0
glutamine_431 M10	0.020843	0.020504	0.020663	0
glutamine_431 M11	0.005062	0.004919	0.004861	0
glutamine_431 M12	0.000725	0.000725	0.000728	0
glutamine_431 M13	0	0	0	0
glutamine_431 M14	0	0	0	0
glutamine_431 M15_Full_NC	0	0	0	0
				
arginine_442 M0	0	0	0	0.619524
arginine_442 M1	0	0	0	0.238858
arginine_442 M2	0	0	0	0.10767
arginine_442 M3	0	0	0	0.026603
arginine_442 M4	0.000793	0.00092	0	0.006144
arginine_442 M5	0.000536	0	0	0.001036
arginine_442 M6	0.000829	0.000907	0.000939	0.000149
arginine_442 M7	0	0.004519	0	1.70E-05
arginine_442 M8	0	0	0	2.00E-06
arginine_442 M9	0.296244	0.286397	0.23232	0
arginine_442 M10	0.119095	0.114826	0.100683	0
arginine_442 M11	0.392035	0.399308	0.45033	0
arginine_442 M12	0.118939	0.120126	0.134688	0
arginine_442 M13	0.054851	0.055988	0.061688	0
arginine_442 M14	0.011869	0.011781	0.013433	0
arginine_442 M15	0.002744	0.003346	0.003674	0
